train_number,train_name,type,run_days,departure,arrival
12267,MUMBAI CENTRAL - AHMEDABAD AC Duronto Exp,Duronto,"M,T,W,T,F,S,S", 23:25,05:55
12268,AHMEDABAD - MUMBAI CENT AC Duronto Exp,Duronto,"M,T,W,T,F,S,S", 23:40,06:00
22201,KOLKATA SEALDAH - PURI Duronto Express,Duronto,"M,W,F", 20:00,04:00
22204,SECUNDERABAD - VISAKHAPATNAM AC Duronto Express,Duronto,"M,W,S", 20:15,06:35
22206,MADURAI - CHENNAI CENTRAL AC Duronto Express,Duronto,"TUE,THU", 22:40,07:20
12426,JAMMU TAWI - NEW DELHI Rajdhani Express,Rajdhani,"M,T,W,T,F,S,S", 19:40,05:05
12430,NEW DELHI - LUCKNOW AC SF Express,Rajdhani,"M,T,F,S", 20:50,06:40
12437,SECUNDERABAD - HAZRAT NIZAMUDDIN Rajdhani Express,Rajdhani,WED, 12:45,10:25
12951,MUMBAI CENTRAL - NEW DELHI Rajdhani Express,Rajdhani,"M,T,W,T,F,S,S", 16:35,08:35
12953,MUMBAI CENT - HAZRAT NIZAMUDDIN August Kranti Raj Exp,Rajdhani,"M,T,W,T,F,S,S", 17:40,10:55
12019,HOWRAH - RANCHI Shatabdi Express,Shatabdi,"M,T,W,T,F,S", 06:05,13:15
12038,LUDHIANA - NEW DELHI Shatabdi Express,Shatabdi,"T,W,T,F,S", 16:40,22:10
12048,FIROZPUR - NEW DELHI Shatabdi Express,Shatabdi,"M,S", 04:00,21:10
12049,Agra Cantt - Delhi H Nizamuddin Gatimaan Express,Shatabdi,"M,T,W,T,S,S", 17:50,19:30
12050,Delhi H Nizamuddin - Agra Cantt Gatimaan Express,Shatabdi,"M,T,W,T,S,S", 08:10,09:50
11077,PUNE - JAMMU TAWI Jhelum Express,MAIL EXPRESS,"M,T,W,T,F,S,S", 17:20,10:10
12138,FIROZPUR CANTT - MUMBAI CST Punjab Mail SF Exp,SUPERFAST,"M,T,W,T,F,S,S", 21:40,07:35
12295,BANGALORE CITY - DANAPUR Sanghamitra SF Exp,SUPERFAST,"M,T,W,T,F,S,S", 09:00,09:20
12307,HOWRAH - JODHPUR SF Express,SUPERFAST,"M,T,W,T,F,S,S", 23:30,08:30
12424,NEW DELHI - DIBRUGARH TOWN Rajdhani Express,RAJDHANI,"M,T,W,T,F,S,S", 13:55,07:00
12506,DELHI ANAND VIHAR - GUWAHATI North East Express,SUPERFAST,"M,T,W,T,F,S,S", 06:45,16:50
12801,PURI - NEW DELHI Purushottam SF Express,SUPERFAST,"M,T,W,T,F,S,S", 21:45,04:50
12802,NEW DELHI - PURI Purushottam SF Express,SUPERFAST,"M,T,W,T,F,S,S", 22:15,05:25
12833,AHMEDABAD - HOWRAH SF Express,SUPERFAST,"M,T,W,T,F,S,S", 00:15,13:30
12859,MUMBAI CST - HOWRAH Gitanjali SF Express,SUPERFAST,"M,T,W,T,F,S,S", 06:00,12:30
12864,YESVANTPUR - HOWRAH SF Express,SUPERFAST,"M,T,W,T,F,S,S", 19:35,06:25
